nationality,sum(driverId)
Mexican,3029
Rhodesian,1595
Finnish,1820
Swiss,9875
Thai,1517
Indian,851
South African,8464
Chinese,855
Indonesian,837
Argentine-Italian,573
Chilean,194
Irish,1469
Argentine,11376
Polish,9
British,76514
Japanese,3414
Australian,6073
Spanish,5531
Portuguese,690
Hungarian,47
Austrian,2845
New Zealander,3383
Italian,34828
Danish,1546
American-Italian,491
East German,2132
Russian,3332
French,30115
Malaysian,62
Colombian,444
Dutch,6492
Uruguayan,2745
Brazilian,8875
Liechtensteiner,313
Monegasque,2092
German,21757
Venezuelan,1504
Swedish,3201
American,88024
Czech,61
Belgian,10791
Canadian,5365
